id,age_cat,c_charge_degree,race,sex,priors_count,two_year_recid
166,Less than 25,F,African-American,Male,2,0
167,25 - 45,M,African-American,Male,0,0
168,Greater than 45,F,Caucasian,Male,0,0
169,25 - 45,F,Caucasian,Male,13,1
170,Greater than 45,F,African-American,Male,0,0
171,25 - 45,F,Caucasian,Male,1,0
172,25 - 45,F,Caucasian,Male,1,0
173,Less than 25,F,African-American,Male,0,0
174,25 - 45,F,African-American,Male,4,0
175,25 - 45,F,Hispanic,Male,4,0
176,25 - 45,F,African-American,Male,14,0
177,Greater than 45,M,Caucasian,Male,1,0
178,25 - 45,F,African-American,Male,25,1
179,25 - 45,M,Caucasian,Male,8,1
180,25 - 45,F,African-American,Male,0,0
181,Less than 25,M,Caucasian,Male,1,1
182,25 - 45,M,Other,Female,0,0
183,25 - 45,F,Other,Female,3,0
184,25 - 45,M,Hispanic,Female,0,0
185,Less than 25,F,Hispanic,Male,1,1
186,Less than 25,F,Caucasian,Female,5,1
187,Less than 25,M,Hispanic,Male,0,0
188,25 - 45,M,African-American,Male,1,0
189,Less than 25,F,African-American,Male,1,1
190,25 - 45,F,African-American,Male,2,1
191,25 - 45,F,Other,Male,0,0
192,25 - 45,F,African-American,Male,4,0
193,25 - 45,F,African-American,Female,2,0
194,Less than 25,F,African-American,Male,0,0
195,Less than 25,F,Hispanic,Male,0,0
196,Greater than 45,F,African-American,Female,0,0
197,Greater than 45,F,African-American,Female,0,0
198,25 - 45,F,Caucasian,Male,0,0
199,25 - 45,F,Caucasian,Male,0,1
200,Less than 25,M,African-American,Male,3,1
201,Less than 25,F,Caucasian,Female,1,0
202,25 - 45,M,African-American,Female,2,0
203,25 - 45,F,Other,Female,0,0
204,Greater than 45,F,African-American,Male,3,1
205,25 - 45,F,African-American,Male,0,0
206,25 - 45,F,Caucasian,Male,3,0
207,Greater than 45,M,Caucasian,Male,1,0
208,Greater than 45,F,Caucasian,Male,3,0
209,Less than 25,M,African-American,Male,0,1
210,25 - 45,F,Hispanic,Male,3,1
211,25 - 45,M,Caucasian,Male,5,0
212,25 - 45,M,African-American,Male,5,0
213,Less than 25,F,Caucasian,Male,0,1
214,25 - 45,F,African-American,Male,5,1
215,25 - 45,F,African-American,Male,6,1
216,Less than 25,F,Other,Male,0,0
217,Greater than 45,F,Caucasian,Male,2,0
218,Less than 25,M,African-American,Female,0,0
219,Less than 25,M,African-American,Male,4,1
220,Greater than 45,F,Caucasian,Male,0,0
221,25 - 45,F,Caucasian,Male,5,0
222,25 - 45,F,Other,Male,2,1
223,25 - 45,F,African-American,Female,5,0
224,Less than 25,F,Hispanic,Male,0,0
225,25 - 45,M,African-American,Male,0,0
226,25 - 45,M,Caucasian,Male,0,1
227,25 - 45,M,Caucasian,Male,3,1
228,25 - 45,F,Caucasian,Female,0,0
229,Less than 25,F,Other,Male,9,1
230,25 - 45,F,African-American,Male,0,0
231,Greater than 45,M,Caucasian,Female,0,0
232,Greater than 45,M,Caucasian,Male,0,0
233,25 - 45,F,African-American,Male,7,0
234,Less than 25,F,African-American,Male,0,1
235,25 - 45,F,Caucasian,Male,8,0
236,Less than 25,F,African-American,Male,2,1
237,25 - 45,M,Caucasian,Male,2,1
238,Less than 25,F,Hispanic,Male,3,0
239,25 - 45,F,African-American,Female,0,0
240,25 - 45,M,Caucasian,Female,2,1
241,Less than 25,M,Hispanic,Female,1,0
242,25 - 45,F,Caucasian,Male,1,0
243,Less than 25,F,African-American,Female,0,1
244,25 - 45,M,Caucasian,Male,0,0
245,Less than 25,F,African-American,Male,0,0
246,25 - 45,F,Other,Male,1,1
247,25 - 45,F,African-American,Male,0,0
248,25 - 45,M,Caucasian,Female,0,0
249,Greater than 45,M,Hispanic,Male,1,0
250,25 - 45,F,African-American,Male,12,1
251,Less than 25,F,African-American,Male,1,0
252,Greater than 45,F,African-American,Male,3,0
253,25 - 45,F,Caucasian,Male,0,0
254,25 - 45,M,Hispanic,Male,0,0
255,25 - 45,M,Other,Male,0,0
256,Less than 25,F,Caucasian,Female,0,0
257,Greater than 45,M,Caucasian,Male,0,0
258,Less than 25,F,Caucasian,Male,2,0
259,25 - 45,M,African-American,Male,6,1
260,Less than 25,F,Caucasian,Male,0,0
261,Less than 25,F,African-American,Female,0,1
262,Greater than 45,F,African-American,Male,3,0
263,25 - 45,M,African-American,Male,2,0
264,Greater than 45,M,Caucasian,Female,0,0
265,Less than 25,F,African-American,Male,3,1
266,Less than 25,F,Other,Female,1,0
267,25 - 45,F,Hispanic,Male,1,0
268,25 - 45,F,Caucasian,Male,0,0
269,Less than 25,F,African-American,Male,1,0
270,Less than 25,M,Caucasian,Male,2,1
271,Less than 25,F,African-American,Male,4,1
272,25 - 45,M,Caucasian,Male,1,0
273,25 - 45,F,Caucasian,Male,0,1
274,25 - 45,F,African-American,Male,7,1
275,Greater than 45,M,Caucasian,Female,1,0
276,Less than 25,F,African-American,Female,0,0
277,25 - 45,F,African-American,Male,1,0
278,25 - 45,M,African-American,Male,1,0
279,25 - 45,F,African-American,Male,6,1
280,Less than 25,F,African-American,Male,4,1
281,Less than 25,M,Caucasian,Male,3,0
282,25 - 45,F,African-American,Male,23,1
283,25 - 45,F,African-American,Male,2,0
284,Greater than 45,F,African-American,Male,2,0
285,25 - 45,F,African-American,Male,7,0
286,Greater than 45,F,Caucasian,Male,23,1
287,Greater than 45,M,Caucasian,Female,0,0
288,25 - 45,F,African-American,Male,12,1
289,25 - 45,F,African-American,Male,5,0
290,25 - 45,M,Caucasian,Male,3,0
291,25 - 45,F,Hispanic,Female,0,0
292,25 - 45,F,African-American,Male,14,1
293,25 - 45,F,African-American,Male,2,0
294,Less than 25,M,African-American,Male,0,1
295,25 - 45,F,Caucasian,Male,0,0
296,Greater than 45,F,African-American,Male,5,0
297,25 - 45,F,African-American,Male,9,1
298,25 - 45,F,African-American,Male,3,0
299,Greater than 45,F,Other,Male,4,0
300,Less than 25,M,Hispanic,Male,1,0
301,25 - 45,M,Caucasian,Female,0,0
302,Greater than 45,M,Caucasian,Male,0,0
303,Less than 25,F,African-American,Female,0,0
304,Greater than 45,F,African-American,Male,11,0
305,Less than 25,M,Hispanic,Male,0,0
306,Less than 25,F,Caucasian,Male,0,0
307,Greater than 45,M,Caucasian,Female,2,0
308,25 - 45,M,African-American,Male,7,1
309,Less than 25,F,Caucasian,Male,1,1
310,25 - 45,F,African-American,Male,8,1
311,25 - 45,F,Other,Male,1,0
312,Less than 25,F,African-American,Male,0,1
313,Greater than 45,M,African-American,Male,21,1
314,Less than 25,F,African-American,Male,3,0
315,Greater than 45,M,Hispanic,Male,1,1
316,25 - 45,F,Caucasian,Male,0,0
317,25 - 45,M,Caucasian,Male,3,0
318,25 - 45,F,African-American,Male,3,0
319,Less than 25,F,Caucasian,Male,3,1
320,25 - 45,F,Caucasian,Male,0,0
321,25 - 45,F,African-American,Male,2,0
322,Less than 25,F,African-American,Female,3,1
323,25 - 45,M,Caucasian,Male,2,0
324,Less than 25,F,Caucasian,Female,0,0
325,25 - 45,M,Caucasian,Male,0,0
326,25 - 45,F,Hispanic,Male,2,1
327,Less than 25,F,African-American,Male,1,1
328,Less than 25,M,African-American,Male,1,1
329,Greater than 45,F,Caucasian,Male,4,0
330,Greater than 45,F,African-American,Female,3,0
331,25 - 45,M,African-American,Male,1,0
332,25 - 45,F,African-American,Male,5,0
333,Less than 25,M,Caucasian,Male,0,0
334,25 - 45,M,Caucasian,Male,0,1
335,25 - 45,M,African-American,Male,13,1
336,25 - 45,M,African-American,Male,1,1
337,Greater than 45,F,Caucasian,Male,6,1
338,25 - 45,F,Caucasian,Male,1,1
339,25 - 45,F,African-American,Male,10,1
340,25 - 45,F,African-American,Male,5,0
341,Greater than 45,F,Caucasian,Male,2,0
342,25 - 45,F,African-American,Male,0,0
343,Less than 25,F,African-American,Male,6,0
344,Greater than 45,M,African-American,Male,2,0
345,Greater than 45,M,African-American,Male,12,1
346,25 - 45,M,African-American,Male,1,0
347,Less than 25,F,African-American,Male,1,1
348,Greater than 45,F,Caucasian,Male,0,0
349,Less than 25,F,Hispanic,Male,0,0
350,25 - 45,F,Caucasian,Male,3,0
351,Greater than 45,F,Caucasian,Male,3,0
352,Greater than 45,F,Caucasian,Male,0,0
353,25 - 45,F,Hispanic,Male,4,1
354,Greater than 45,F,Caucasian,Male,1,1
355,25 - 45,F,Asian,Male,0,0
356,Greater than 45,F,Hispanic,Male,1,0
357,25 - 45,M,Hispanic,Male,2,0
358,Less than 25,M,Caucasian,Male,2,1
359,25 - 45,F,African-American,Male,1,0
360,25 - 45,M,Caucasian,Female,0,0
361,25 - 45,M,Caucasian,Male,0,1
362,Greater than 45,M,African-American,Male,0,0
363,25 - 45,F,African-American,Male,4,1
364,Greater than 45,M,Caucasian,Female,0,0
365,25 - 45,F,African-American,Male,0,0
366,25 - 45,M,Caucasian,Male,1,1
367,Greater than 45,F,Hispanic,Male,20,0
368,Greater than 45,F,African-American,Male,33,1
369,25 - 45,F,Caucasian,Male,2,0
370,Greater than 45,M,Caucasian,Male,1,0
371,25 - 45,F,Caucasian,Male,1,0
372,Greater than 45,M,Caucasian,Male,4,0
373,Greater than 45,F,Other,Male,12,0
374,25 - 45,M,African-American,Female,0,0
375,Greater than 45,M,Caucasian,Female,0,0
376,25 - 45,M,Hispanic,Male,7,0
377,25 - 45,M,Other,Male,2,0
378,25 - 45,M,African-American,Male,2,0
379,25 - 45,F,African-American,Female,6,0
380,25 - 45,M,Other,Male,0,0
381,Less than 25,F,Caucasian,Male,0,0
382,Greater than 45,F,Caucasian,Male,1,1
383,Greater than 45,M,African-American,Male,4,0
384,Less than 25,F,Caucasian,Male,0,0
385,Less than 25,M,Caucasian,Male,0,0
386,25 - 45,F,Caucasian,Male,6,0
387,25 - 45,F,African-American,Male,0,0
388,25 - 45,F,Caucasian,Male,1,1
389,25 - 45,F,Other,Male,1,0
390,25 - 45,F,Caucasian,Male,0,0
391,25 - 45,F,Hispanic,Male,20,0
392,25 - 45,F,African-American,Male,0,0
393,25 - 45,F,African-American,Male,14,1
394,Less than 25,M,Caucasian,Male,9,1
395,Less than 25,F,Hispanic,Male,0,1
396,Greater than 45,M,Caucasian,Male,1,0
397,25 - 45,F,African-American,Male,5,1
398,Greater than 45,F,Caucasian,Male,2,1
399,25 - 45,M,African-American,Male,1,0
400,Less than 25,F,Caucasian,Male,2,0
401,25 - 45,F,African-American,Male,8,0
402,Greater than 45,F,African-American,Male,6,0
403,25 - 45,F,African-American,Male,3,0
404,Greater than 45,F,Other,Female,0,0
405,25 - 45,F,African-American,Male,3,1
406,Less than 25,F,African-American,Male,3,1
407,Greater than 45,M,Caucasian,Male,1,0
408,Less than 25,F,African-American,Male,3,1
409,Greater than 45,M,African-American,Male,3,0
410,25 - 45,F,African-American,Male,0,0
411,25 - 45,F,Caucasian,Male,1,0
412,25 - 45,F,African-American,Male,16,1
413,25 - 45,M,African-American,Female,0,0
414,Less than 25,F,African-American,Male,1,0
415,25 - 45,F,Caucasian,Male,2,1
416,25 - 45,F,Caucasian,Male,5,0
417,Less than 25,F,Hispanic,Male,8,0
418,25 - 45,M,African-American,Male,5,1
419,25 - 45,M,Caucasian,Male,11,0
420,25 - 45,F,African-American,Female,6,1
421,25 - 45,M,Caucasian,Male,0,0
422,25 - 45,F,African-American,Male,15,0
423,25 - 45,F,Hispanic,Male,4,0
424,25 - 45,M,African-American,Female,0,0
425,Greater than 45,F,Hispanic,Male,1,0
426,Greater than 45,M,Caucasian,Female,2,1
427,Greater than 45,M,Caucasian,Male,0,1
428,Greater than 45,M,Caucasian,Female,0,0
429,25 - 45,F,African-American,Male,5,1
430,Less than 25,M,Caucasian,Female,0,0
431,Less than 25,M,Caucasian,Male,1,0
432,25 - 45,M,Other,Male,0,1
433,25 - 45,M,Hispanic,Male,0,0
434,25 - 45,F,Other,Male,1,0
435,25 - 45,M,African-American,Male,0,0
436,Less than 25,F,Caucasian,Female,0,0
437,25 - 45,M,African-American,Male,0,0
438,25 - 45,F,Hispanic,Male,1,0
439,Less than 25,F,Caucasian,Female,0,0
440,Less than 25,F,African-American,Male,1,0
441,25 - 45,M,African-American,Male,3,1
442,25 - 45,F,African-American,Male,0,0
443,25 - 45,F,African-American,Female,1,0
444,25 - 45,M,African-American,Male,1,0
445,Greater than 45,M,Caucasian,Female,0,0
446,25 - 45,M,Caucasian,Male,2,0
447,25 - 45,F,Caucasian,Male,0,0
448,25 - 45,F,African-American,Male,4,1
449,Greater than 45,M,Caucasian,Male,0,0
450,25 - 45,M,Caucasian,Male,2,1
451,25 - 45,F,African-American,Male,10,0
452,Greater than 45,M,African-American,Male,9,1
453,Less than 25,F,Caucasian,Female,3,0
454,Less than 25,M,African-American,Female,0,0
455,25 - 45,M,African-American,Male,1,0
456,25 - 45,M,African-American,Male,0,0
457,Greater than 45,F,African-American,Male,15,1
458,25 - 45,M,Hispanic,Male,0,0
459,25 - 45,F,Caucasian,Male,3,1
460,25 - 45,M,Caucasian,Male,5,0
461,25 - 45,F,Caucasian,Male,1,0
462,Less than 25,F,Caucasian,Male,3,1
463,25 - 45,F,African-American,Male,0,0
464,25 - 45,F,African-American,Male,18,1
465,Less than 25,F,Other,Male,0,0
466,Less than 25,F,African-American,Male,0,0
467,Less than 25,F,African-American,Female,0,0
468,25 - 45,F,African-American,Male,0,0
469,25 - 45,F,African-American,Male,8,1
470,25 - 45,F,African-American,Female,10,0
471,Greater than 45,F,Caucasian,Female,1,0
472,25 - 45,F,Caucasian,Male,2,1
473,25 - 45,F,African-American,Male,0,1
474,Less than 25,F,African-American,Male,1,1
475,25 - 45,F,African-American,Male,13,1
476,Greater than 45,F,African-American,Male,20,0
477,Less than 25,F,African-American,Male,3,0
478,Less than 25,M,Hispanic,Male,2,1
479,25 - 45,M,African-American,Male,0,0
480,25 - 45,F,African-American,Female,0,0
481,Greater than 45,M,Caucasian,Male,1,0
482,Greater than 45,F,Hispanic,Male,0,0
483,Less than 25,F,African-American,Male,0,0
484,25 - 45,F,African-American,Male,11,0
485,25 - 45,M,Other,Male,4,1
486,Greater than 45,F,Other,Male,0,0
487,25 - 45,M,African-American,Female,0,0
488,Greater than 45,F,Caucasian,Female,2,0
489,25 - 45,M,African-American,Male,0,0
490,25 - 45,M,African-American,Male,0,1
491,Less than 25,F,African-American,Male,3,0
492,25 - 45,M,Caucasian,Female,0,0
493,25 - 45,F,Hispanic,Male,7,1
494,Less than 25,M,African-American,Male,2,1
495,25 - 45,F,African-American,Male,3,0
496,Less than 25,F,Asian,Male,0,1
497,25 - 45,F,African-American,Male,5,0
498,25 - 45,M,African-American,Male,4,0
499,25 - 45,F,African-American,Male,14,1
500,Greater than 45,F,Caucasian,Male,2,0
501,25 - 45,M,African-American,Male,3,1
502,25 - 45,M,African-American,Male,2,0
503,Less than 25,M,African-American,Male,1,0
504,25 - 45,F,African-American,Male,1,0
505,Greater than 45,F,African-American,Male,0,0
506,25 - 45,F,African-American,Male,6,0
507,25 - 45,M,African-American,Male,10,1
508,25 - 45,F,African-American,Male,10,1
509,25 - 45,F,Caucasian,Male,1,0
510,Greater than 45,F,Caucasian,Female,9,1
511,Greater than 45,F,Caucasian,Male,1,0
512,25 - 45,F,African-American,Male,0,0
513,Less than 25,M,Hispanic,Male,0,0
514,Greater than 45,F,Caucasian,Female,2,0
515,Less than 25,F,African-American,Male,0,1
516,Greater than 45,F,African-American,Male,18,1
517,Greater than 45,M,African-American,Male,0,0
518,Less than 25,F,African-American,Male,1,0
519,25 - 45,F,Caucasian,Male,1,1
520,Greater than 45,F,Caucasian,Male,0,0
521,25 - 45,M,Caucasian,Male,0,1
522,Less than 25,F,Hispanic,Male,1,0
523,Less than 25,M,Caucasian,Male,0,0
524,Greater than 45,M,Caucasian,Male,0,0
525,Less than 25,F,Caucasian,Male,1,0
526,25 - 45,F,Hispanic,Female,1,0
527,Less than 25,F,African-American,Male,0,0
528,25 - 45,F,Caucasian,Male,1,0
529,Less than 25,F,Caucasian,Male,1,1
530,25 - 45,F,African-American,Female,4,1
531,Greater than 45,F,African-American,Male,2,0
532,Less than 25,F,African-American,Male,6,1
533,Less than 25,F,African-American,Male,0,0
534,25 - 45,F,African-American,Male,0,0
535,Less than 25,F,African-American,Male,0,0
536,Greater than 45,F,African-American,Male,11,0
537,Less than 25,F,African-American,Male,0,0
538,Less than 25,M,Caucasian,Female,0,0
539,25 - 45,F,Other,Male,0,0
540,Less than 25,F,African-American,Male,0,1
541,Greater than 45,F,Caucasian,Female,0,0
542,25 - 45,M,African-American,Male,7,1
543,25 - 45,M,African-American,Female,1,0
544,Greater than 45,F,African-American,Male,8,0
545,25 - 45,M,African-American,Male,10,0
546,25 - 45,F,African-American,Female,0,0
547,25 - 45,F,African-American,Female,3,0
548,25 - 45,F,African-American,Male,4,1
549,Greater than 45,F,African-American,Female,19,1
550,Less than 25,F,Other,Male,1,1
551,Less than 25,M,Other,Female,0,0
552,Less than 25,F,Caucasian,Female,1,1
553,Less than 25,F,African-American,Female,0,0
554,25 - 45,M,Native American,Male,3,0
555,Greater than 45,F,African-American,Female,0,0
556,Less than 25,F,African-American,Female,0,0
557,25 - 45,F,African-American,Male,6,0
558,Less than 25,M,Other,Male,2,0
559,25 - 45,F,African-American,Male,4,1
560,25 - 45,M,African-American,Male,1,0
561,25 - 45,F,Hispanic,Male,0,0
562,25 - 45,M,African-American,Male,0,0
563,25 - 45,F,African-American,Male,8,1
564,25 - 45,M,Caucasian,Male,0,0
565,Greater than 45,M,Caucasian,Male,0,0
566,25 - 45,F,African-American,Male,4,0
567,25 - 45,F,African-American,Female,4,0
568,Less than 25,M,Caucasian,Male,1,1
569,Less than 25,F,Caucasian,Male,0,1
570,Greater than 45,F,African-American,Male,11,0
571,Greater than 45,F,Caucasian,Male,0,0
572,25 - 45,F,Other,Male,0,0
573,25 - 45,F,African-American,Female,3,0
574,25 - 45,M,Caucasian,Male,0,0
575,25 - 45,M,Caucasian,Male,2,0
576,Less than 25,F,African-American,Male,0,1
577,25 - 45,F,African-American,Male,22,1
578,Less than 25,M,Other,Female,0,0
579,Greater than 45,M,African-American,Male,0,0
580,25 - 45,F,Other,Male,0,0
581,Less than 25,F,Caucasian,Male,0,0
582,Less than 25,M,African-American,Female,1,1
583,25 - 45,M,African-American,Female,1,0
584,Greater than 45,M,Hispanic,Male,0,0
585,25 - 45,F,Caucasian,Male,2,0
586,25 - 45,F,African-American,Male,3,1
587,25 - 45,M,African-American,Female,0,0
588,25 - 45,F,African-American,Male,0,0
589,25 - 45,M,Other,Male,3,0
590,25 - 45,F,African-American,Male,17,1
591,25 - 45,F,African-American,Male,7,0
592,Less than 25,F,African-American,Male,0,0
593,25 - 45,F,Caucasian,Male,8,0
594,25 - 45,F,African-American,Male,14,1
595,25 - 45,M,African-American,Male,0,0
596,25 - 45,M,African-American,Male,5,1
597,25 - 45,F,African-American,Male,16,0
598,25 - 45,M,Other,Female,0,1
599,25 - 45,M,Caucasian,Male,0,0
600,Greater than 45,F,Caucasian,Male,2,0
601,25 - 45,M,African-American,Male,3,1
602,Less than 25,F,African-American,Female,1,0
603,25 - 45,M,Caucasian,Male,2,0
604,25 - 45,F,African-American,Male,13,1
605,25 - 45,F,Other,Male,0,0
606,Less than 25,F,Other,Male,0,1
607,25 - 45,F,African-American,Male,20,0
608,25 - 45,F,African-American,Male,3,1
609,Greater than 45,F,African-American,Male,25,1
610,Less than 25,M,African-American,Male,1,1
611,Greater than 45,M,African-American,Male,9,1
612,25 - 45,M,African-American,Male,4,0
613,Greater than 45,M,Caucasian,Male,4,0
614,25 - 45,F,African-American,Male,1,1
615,25 - 45,M,African-American,Male,2,0
616,25 - 45,F,Other,Male,3,0
617,Greater than 45,F,Caucasian,Male,0,0
618,25 - 45,M,Caucasian,Male,4,1
619,Less than 25,F,African-American,Male,1,0
620,Less than 25,F,African-American,Male,1,1
621,Less than 25,F,Caucasian,Male,3,1
622,25 - 45,M,African-American,Male,4,1
623,Greater than 45,F,Caucasian,Male,1,0
624,Less than 25,F,African-American,Male,5,1
625,25 - 45,F,Caucasian,Male,0,0
626,Greater than 45,F,Caucasian,Male,0,0
627,Less than 25,M,African-American,Male,7,0
628,Less than 25,M,Caucasian,Female,0,0
629,Less than 25,F,African-American,Male,1,1
630,25 - 45,M,African-American,Male,9,0
631,25 - 45,F,African-American,Male,5,1
632,Less than 25,F,Caucasian,Female,1,0
633,25 - 45,F,African-American,Male,0,1
634,25 - 45,M,African-American,Male,25,1
